molecule_chembl_id,canonical_smiles,bioactivity_class,value_uM
CHEMBL301156,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Inhibitor,3.0
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Inhibitor,0.25
CHEMBL122417,CCCc1ccccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.34
CHEMBL117738,CCCc1cc(C=C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.15
CHEMBL119066,CCCc1cc(C2CCC(C)(C)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,1.76
CHEMBL116774,CCCc1cc(C2CCC(O)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.18
CHEMBL120570,CCCc1cc(OC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.037
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.057
CHEMBL118753,CCCc1cc(OC2CCCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.085
CHEMBL418874,CCCc1cc(-c2noc3ccccc23)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.03
CHEMBL118169,CCCc1cc(OC2CCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.063
CHEMBL280293,CCCc1cc(-c2ccccc2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.45
CHEMBL117578,CCCc1cc(C(=O)c2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.144
CHEMBL419768,CCCc1cc(C2CCC(=O)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,1.16
CHEMBL118251,CCCc1cc(C2CCCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.64
CHEMBL117918,CCCc1cc(C2CCOCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.75
CHEMBL118756,CCCc1cc(C2CCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.49
CHEMBL119496,CCCc1cc(C(=O)C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.064
CHEMBL331071,CCCc1cc(C(=O)c2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.019
CHEMBL121106,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,Full Inhibitor,0.03
CHEMBL121106,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,Full Inhibitor,0.06
CHEMBL333304,CN(CCOc1ccc(C[C@H]2SC(=O)NC2=O)cc1)c1ccccn1,Full Inhibitor,2.0
CHEMBL333304,CN(CCOc1ccc(C[C@H]2SC(=O)NC2=O)cc1)c1ccccn1,Full Inhibitor,0.05
CHEMBL122418,CCCc1cc(CC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Inhibitor,0.059
CHEMBL117165,CCCc1cc(C2CCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,1.06
CHEMBL332018,CCCc1cc(C2CCC(F)(F)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Inhibitor,0.54
CHEMBL115604,CC[C@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Partial Inhibitor,50.0
CHEMBL107789,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Partial Inhibitor,44.0
CHEMBL112790,C[C@@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccccc4)cc3Cl)cc2O1,Full Inhibitor,1.4
CHEMBL111271,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,Full Inhibitor,1.2
CHEMBL107991,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,Full Inhibitor,0.63
CHEMBL111161,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,Full Inhibitor,1.4
